/home/tiger/miniconda3/envs/raps/lib/python3.12/site-packages/class_registry/entry_points.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import iter_entry_points
Number of topics:  57
Total number of questions:  14042
MMLU RAG A/B | single solver | 40 questions | temp=0
PROG:: norag 1/40 solved=1
PROG:: norag 2/40 solved=2
PROG:: norag 3/40 solved=2
PROG:: norag 4/40 solved=2
PROG:: norag 5/40 solved=3
PROG:: norag 6/40 solved=4
PROG:: norag 7/40 solved=5
PROG:: norag 8/40 solved=6
PROG:: norag 9/40 solved=7
PROG:: norag 10/40 solved=7
PROG:: norag 11/40 solved=8
PROG:: norag 12/40 solved=8
PROG:: norag 13/40 solved=9
PROG:: norag 14/40 solved=9
PROG:: norag 15/40 solved=10
PROG:: norag 16/40 solved=11
PROG:: norag 17/40 solved=12
PROG:: norag 18/40 solved=13
PROG:: norag 19/40 solved=14
PROG:: norag 20/40 solved=15
PROG:: norag 21/40 solved=15
PROG:: norag 22/40 solved=15
PROG:: norag 23/40 solved=16
PROG:: norag 24/40 solved=17
PROG:: norag 25/40 solved=17
PROG:: norag 26/40 solved=17
PROG:: norag 27/40 solved=18
PROG:: norag 28/40 solved=19
PROG:: norag 29/40 solved=20
PROG:: norag 30/40 solved=21
PROG:: norag 31/40 solved=22
PROG:: norag 32/40 solved=22
PROG:: norag 33/40 solved=23
PROG:: norag 34/40 solved=23
PROG:: norag 35/40 solved=24
PROG:: norag 36/40 solved=24
PROG:: norag 37/40 solved=24
PROG:: norag 38/40 solved=25
PROG:: norag 39/40 solved=25
PROG:: norag 40/40 solved=26
RESULT:: no_rag   acc=0.650
PROG:: rag 1/40 solved=1
PROG:: rag 2/40 solved=2
PROG:: rag 3/40 solved=2
PROG:: rag 4/40 solved=3
PROG:: rag 5/40 solved=4
PROG:: rag 6/40 solved=5
PROG:: rag 7/40 solved=6
PROG:: rag 8/40 solved=7
PROG:: rag 9/40 solved=8
PROG:: rag 10/40 solved=8
PROG:: rag 11/40 solved=9
PROG:: rag 12/40 solved=10
PROG:: rag 13/40 solved=10
PROG:: rag 14/40 solved=10
PROG:: rag 15/40 solved=11
PROG:: rag 16/40 solved=12
PROG:: rag 17/40 solved=13
PROG:: rag 18/40 solved=14
PROG:: rag 19/40 solved=15
PROG:: rag 20/40 solved=16
PROG:: rag 21/40 solved=16
PROG:: rag 22/40 solved=16
PROG:: rag 23/40 solved=17
PROG:: rag 24/40 solved=18
PROG:: rag 25/40 solved=18
PROG:: rag 26/40 solved=18
PROG:: rag 27/40 solved=19
PROG:: rag 28/40 solved=20
PROG:: rag 29/40 solved=21
PROG:: rag 30/40 solved=22
PROG:: rag 31/40 solved=22
PROG:: rag 32/40 solved=22
PROG:: rag 33/40 solved=23
PROG:: rag 34/40 solved=23
PROG:: rag 35/40 solved=24
PROG:: rag 36/40 solved=24
PROG:: rag 37/40 solved=24
PROG:: rag 38/40 solved=25
PROG:: rag 39/40 solved=25
PROG:: rag 40/40 solved=26
RESULT:: rag(wiki) acc=0.650
RESULT:: delta +0.000  (multi-agent pipeline ref ~0.837)
