/home/tiger/miniconda3/envs/raps/lib/python3.12/site-packages/class_registry/entry_points.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import iter_entry_points
Number of topics:  57
Total number of questions:  14042
Q0 gold=C | titles=[] | verdict=HELPFUL
Q1 gold=D | titles=[] | verdict=HELPFUL
Q2 gold=B | titles=[] | verdict=HELPFUL
Q3 gold=A | titles=['Starbucks', 'Coca-Cola', 'Red Bull'] | verdict=TOPICAL
Q4 gold=B | titles=['Cognitive psychology', 'Two-factor theory', 'Emotion'] | verdict=TOPICAL
Q5 gold=D | titles=['Ideal gas law', 'Gas constant', 'Unit of measurement'] | verdict=TOPICAL
Q6 gold=A | titles=['Securities Act of 1933', 'Sarbanes–Oxley Act', 'Investment Company Act of 1940'] | verdict=HELPFUL
Q7 gold=B | titles=[] | verdict=HELPFUL
Q8 gold=B | titles=[] | verdict=HELPFUL
Q9 gold=A | titles=[] | verdict=HELPFUL
Q10 gold=B | titles=[] | verdict=HELPFUL
Q11 gold=D | titles=[] | verdict=HELPFUL
Q12 gold=C | titles=[] | verdict=HELPFUL
Q13 gold=C | titles=[] | verdict=HELPFUL

DISTRIBUTION: {'HELPFUL': 11, 'TOPICAL': 3}
