/home/tiger/miniconda3/envs/raps/lib/python3.12/site-packages/class_registry/entry_points.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import iter_entry_points
Number of topics:  57
Total number of questions:  14042
Number of topics:  57
Total number of questions:  14042
PROG:: 1/60 new=0 | matched_chain=1/1
PROG:: 2/60 new=0 | matched_chain=2/2
PROG:: 3/60 new=1 | matched_chain=2/2
PROG:: 4/60 new=1 | matched_chain=2/2
PROG:: 5/60 new=1 | matched_chain=3/3
PROG:: 6/60 new=1 | matched_chain=4/4
PROG:: 7/60 new=2 | matched_chain=5/5
PROG:: 8/60 new=3 | matched_chain=5/5
PROG:: 9/60 new=3 | matched_chain=6/6
PROG:: 10/60 new=3 | matched_chain=6/7
PROG:: 11/60 new=4 | matched_chain=7/8
PROG:: 12/60 new=4 | matched_chain=8/9
PROG:: 13/60 new=5 | matched_chain=8/10
PROG:: 14/60 new=5 | matched_chain=8/11
PROG:: 15/60 new=6 | matched_chain=9/12
PROG:: 16/60 new=6 | matched_chain=9/12
PROG:: 17/60 new=6 | matched_chain=10/13
PROG:: 18/60 new=7 | matched_chain=11/14
PROG:: 19/60 new=8 | matched_chain=12/15
PROG:: 20/60 new=9 | matched_chain=13/16
PROG:: 21/60 new=9 | matched_chain=13/16
PROG:: 22/60 new=10 | matched_chain=13/17
PROG:: 23/60 new=10 | matched_chain=13/17
PROG:: 24/60 new=10 | matched_chain=13/17
PROG:: 25/60 new=10 | matched_chain=13/18
