/home/tiger/miniconda3/envs/raps/lib/python3.12/site-packages/class_registry/entry_points.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import iter_entry_points
Number of topics:  57
Total number of questions:  14042
PROG:: 1/60 0shot=1 5shot=1 (matched 1)
PROG:: 2/60 0shot=2 5shot=2 (matched 2)
PROG:: 3/60 0shot=2 5shot=2 (matched 3)
PROG:: 4/60 0shot=2 5shot=3 (matched 4)
PROG:: 5/60 0shot=3 5shot=4 (matched 5)
PROG:: 6/60 0shot=4 5shot=4 (matched 6)
PROG:: 7/60 0shot=5 5shot=5 (matched 7)
PROG:: 8/60 0shot=6 5shot=5 (matched 8)
PROG:: 9/60 0shot=7 5shot=6 (matched 9)
PROG:: 10/60 0shot=7 5shot=7 (matched 10)
PROG:: 11/60 0shot=8 5shot=8 (matched 11)
PROG:: 12/60 0shot=8 5shot=9 (matched 12)
PROG:: 13/60 0shot=9 5shot=10 (matched 13)
PROG:: 14/60 0shot=9 5shot=10 (matched 14)
PROG:: 15/60 0shot=10 5shot=11 (matched 15)
PROG:: 16/60 0shot=11 5shot=12 (matched 16)
PROG:: 17/60 0shot=12 5shot=13 (matched 17)
PROG:: 18/60 0shot=13 5shot=14 (matched 18)
PROG:: 19/60 0shot=14 5shot=15 (matched 19)
PROG:: 20/60 0shot=15 5shot=16 (matched 20)
PROG:: 21/60 0shot=15 5shot=16 (matched 21)
PROG:: 22/60 0shot=16 5shot=17 (matched 22)
PROG:: 23/60 0shot=16 5shot=18 (matched 23)
PROG:: 24/60 0shot=17 5shot=19 (matched 24)
PROG:: 25/60 0shot=17 5shot=20 (matched 25)
PROG:: 26/60 0shot=17 5shot=20 (matched 26)
PROG:: 27/60 0shot=18 5shot=21 (matched 27)
PROG:: 28/60 0shot=19 5shot=22 (matched 28)
PROG:: 29/60 0shot=20 5shot=23 (matched 29)
PROG:: 30/60 0shot=21 5shot=24 (matched 30)
PROG:: 31/60 0shot=22 5shot=25 (matched 31)
PROG:: 32/60 0shot=23 5shot=26 (matched 32)
PROG:: 33/60 0shot=24 5shot=26 (matched 33)
PROG:: 34/60 0shot=24 5shot=26 (matched 34)
PROG:: 35/60 0shot=25 5shot=27 (matched 35)
PROG:: 36/60 0shot=26 5shot=28 (matched 36)
PROG:: 37/60 0shot=26 5shot=28 (matched 37)
PROG:: 38/60 0shot=27 5shot=29 (matched 38)
PROG:: 39/60 0shot=27 5shot=29 (matched 39)
PROG:: 40/60 0shot=28 5shot=30 (matched 40)
PROG:: 41/60 0shot=29 5shot=31 (matched 41)
PROG:: 42/60 0shot=30 5shot=32 (matched 42)
PROG:: 43/60 0shot=31 5shot=33 (matched 43)
PROG:: 44/60 0shot=31 5shot=33 (matched 44)
PROG:: 45/60 0shot=32 5shot=34 (matched 45)
PROG:: 46/60 0shot=33 5shot=35 (matched 46)
PROG:: 47/60 0shot=34 5shot=36 (matched 47)
PROG:: 48/60 0shot=35 5shot=37 (matched 48)
PROG:: 49/60 0shot=36 5shot=38 (matched 49)
PROG:: 50/60 0shot=37 5shot=39 (matched 50)
PROG:: 51/60 0shot=38 5shot=40 (matched 51)
PROG:: 52/60 0shot=38 5shot=40 (matched 52)
PROG:: 53/60 0shot=39 5shot=41 (matched 53)
PROG:: 54/60 0shot=39 5shot=41 (matched 54)
PROG:: 55/60 0shot=40 5shot=42 (matched 55)
PROG:: 56/60 0shot=41 5shot=43 (matched 56)
PROG:: 57/60 0shot=42 5shot=44 (matched 57)
PROG:: 58/60 0shot=43 5shot=45 (matched 58)
PROG:: 59/60 0shot=44 5shot=46 (matched 59)
PROG:: 60/60 0shot=45 5shot=47 (matched 60)

RESULT:: single-solver  0-shot=45/60=0.750  5-shot=47/60=0.783
