/home/tiger/miniconda3/envs/raps/lib/python3.12/site-packages/class_registry/entry_points.py:7: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import iter_entry_points
Number of topics:  57
Total number of questions:  14042
PROG:: 1/25 plain=1 sc=1 sc_rag=1 retrieved=0
PROG:: 2/25 plain=1 sc=2 sc_rag=2 retrieved=0
PROG:: 3/25 plain=1 sc=2 sc_rag=2 retrieved=0
PROG:: 4/25 plain=2 sc=3 sc_rag=3 retrieved=0
PROG:: 5/25 plain=3 sc=4 sc_rag=4 retrieved=0
PROG:: 6/25 plain=4 sc=4 sc_rag=5 retrieved=1
PROG:: 7/25 plain=5 sc=5 sc_rag=6 retrieved=1
PROG:: 8/25 plain=6 sc=6 sc_rag=7 retrieved=1
PROG:: 9/25 plain=7 sc=7 sc_rag=8 retrieved=1
PROG:: 10/25 plain=7 sc=7 sc_rag=8 retrieved=1
PROG:: 11/25 plain=8 sc=8 sc_rag=9 retrieved=1
PROG:: 12/25 plain=8 sc=8 sc_rag=9 retrieved=1
PROG:: 13/25 plain=9 sc=9 sc_rag=10 retrieved=1
PROG:: 14/25 plain=9 sc=9 sc_rag=10 retrieved=1
PROG:: 15/25 plain=10 sc=10 sc_rag=11 retrieved=1
PROG:: 16/25 plain=11 sc=11 sc_rag=12 retrieved=1
PROG:: 17/25 plain=12 sc=12 sc_rag=13 retrieved=1
PROG:: 18/25 plain=13 sc=13 sc_rag=14 retrieved=1
PROG:: 19/25 plain=14 sc=14 sc_rag=15 retrieved=1
PROG:: 20/25 plain=15 sc=15 sc_rag=16 retrieved=1
PROG:: 21/25 plain=15 sc=15 sc_rag=16 retrieved=1
PROG:: 22/25 plain=15 sc=15 sc_rag=16 retrieved=1
PROG:: 23/25 plain=16 sc=16 sc_rag=17 retrieved=1
PROG:: 24/25 plain=17 sc=17 sc_rag=18 retrieved=1
PROG:: 25/25 plain=17 sc=17 sc_rag=18 retrieved=2

RESULT:: plain=17/25=0.680  self_consistency=17/25=0.680  sc+rag=18/25=0.720  (retrieved on 2/25)
